Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDI50,OUT019,805.1406
FDS09,OUT035,799.8434
NCC31,OUT027,828.96747
FDQ07,OUT019,804.26587
FDC22,OUT017,820.9383
FDZ56,OUT046,804.9572
FDZ40,OUT019,797.02216
FDS46,OUT027,824.08813
DRD24,OUT045,803.1831
FDV45,OUT017,829.86993
FDL26,OUT045,817.9253
FDA56,OUT018,823.0434
FDN27,OUT046,814.1215
FDM20,OUT049,821.02167
FDO16,OUT017,807.09827
FDL03,OUT035,813.58826
FDE58,OUT046,807.96826
FDI02,OUT027,821.06354
NCC55,OUT019,794.38055
FDR03,OUT018,832.4563
FDB14,OUT017,828.9742
FDR45,OUT013,808.0206
NCN07,OUT017,816.8256
FDM51,OUT019,808.79346
FDT52,OUT027,818.9301
FDL26,OUT046,813.18176
NCZ42,OUT046,809.0383
DRI47,OUT019,799.45483
FDW40,OUT013,795.64233
FDN34,OUT046,808.74585
FDS01,OUT035,804.0111
NCG55,OUT045,815.9859
FDC11,OUT035,817.5557
FDX35,OUT018,830.1467
NCB06,OUT046,811.81726
FDR09,OUT019,810.63824
FDC53,OUT017,810.5706
FDY45,OUT013,812.4971
FDA22,OUT010,838.0025
FDE02,OUT035,799.1502
FDW21,OUT045,804.4969
FDV34,OUT046,804.25665
FDS59,OUT049,819.8065
NCW17,OUT017,815.354
NCK54,OUT046,800.9266
FDG17,OUT019,798.8467
FDG35,OUT017,832.41437
FDD08,OUT010,816.8783
NCO07,OUT017,810.18396
FDJ10,OUT010,825.98663
FDW36,OUT017,812.87604
FDW21,OUT010,815.461
FDY19,OUT017,823.30084
DRE03,OUT013,786.69507
NCC55,OUT049,810.7802
FDH52,OUT010,812.35266
FDO09,OUT017,831.1722
FDU43,OUT045,815.3136
FDX09,OUT010,833.50665
FDH40,OUT019,794.7596
FDW58,OUT017,829.8857
FDC47,OUT017,831.9163
NCR41,OUT035,801.83716
DRG49,OUT035,793.49493
FDC52,OUT027,809.4209
FDY13,OUT046,803.21423
FDY35,OUT013,789.7179
FDI35,OUT017,828.2983
NCU18,OUT049,822.58563
FDY33,OUT018,836.4792
FDC15,OUT027,822.0568
FDU01,OUT049,829.5733
NCU42,OUT046,802.7815
NCV29,OUT018,824.6193
NCY30,OUT017,827.1154
FDQ46,OUT049,821.16785
FDG58,OUT027,827.12946
FDK33,OUT017,831.06433
NCD07,OUT045,809.63007
NCX29,OUT027,823.3108
NCT42,OUT013,792.2071
DRN59,OUT035,795.2631
FDI44,OUT035,804.394
FDA45,OUT049,837.50714
FDP31,OUT045,809.6143
FDY01,OUT046,810.52893
FDT09,OUT018,831.48486
DRH03,OUT027,812.77344
FDA36,OUT018,822.17017
NCF31,OUT017,814.58417
FDG14,OUT049,821.1924
FDG28,OUT027,819.0289
FDU14,OUT049,826.5175
FDY47,OUT019,805.2908
FDI56,OUT049,812.57336
DRD01,OUT013,786.31976
FDM22,OUT046,803.9747
FDH33,OUT013,797.99994
DRZ24,OUT013,787.4172
NCQ38,OUT046,798.9214
FDO16,OUT027,820.4145
FDU07,OUT027,828.19415
NCB07,OUT013,808.51044
FDU48,OUT045,815.47186
NCM43,OUT045,810.71356
FDR31,OUT010,816.84717
DRK49,OUT018,816.1853
NCI30,OUT010,841.2176
DRD60,OUT017,812.29443
NCG19,OUT046,819.4335
FDH12,OUT035,797.34875
FDM32,OUT035,804.74304
FDM27,OUT035,814.60223
NCU53,OUT027,818.6834
NCQ18,OUT046,805.6097
FDS10,OUT013,810.7252
FDB33,OUT027,826.39386
FDI12,OUT013,788.547
NCW42,OUT013,808.55725
NCC06,OUT018,831.4097
FDW02,OUT017,803.0235
NCD43,OUT017,810.2407
FDM57,OUT018,829.37915
FDA58,OUT017,825.34265
FDK56,OUT046,805.1448
FDP52,OUT045,809.11273
FDW20,OUT018,830.3959
FDS52,OUT049,815.61804
NCT29,OUT018,824.7004
NCL54,OUT013,801.84875
FDC05,OUT045,807.75385
FDF34,OUT035,804.06287
FDP03,OUT027,826.8725
FDD32,OUT010,817.41223
FDZ10,OUT045,822.0761
FDZ40,OUT035,793.89124
FDD51,OUT018,814.417
NCY30,OUT019,797.62695
FDP58,OUT017,827.31415
FDV49,OUT017,823.1011
FDY24,OUT019,809.2273
NCO55,OUT017,811.7363
FDR13,OUT017,816.90955
FDS51,OUT017,824.3892
FDP26,OUT045,796.2463
NCB54,OUT027,820.4333
FDF32,OUT017,823.4579
FDN31,OUT018,830.31757
DRM48,OUT017,806.3198
FDN20,OUT049,823.34735
DRL01,OUT046,806.7376
FDV56,OUT049,815.9275
DRH13,OUT027,815.51086
FDA03,OUT017,812.40375
FDF47,OUT027,839.31934
FDX32,OUT046,800.0774
FDX57,OUT049,820.831
NCA30,OUT045,825.47015
FDO49,OUT013,778.9506
FDL04,OUT019,803.57947
DRM48,OUT035,791.1449
FDR16,OUT013,792.0182
NCC19,OUT018,831.7587
NCE42,OUT045,826.54236
FDY24,OUT017,804.79724
FDH19,OUT049,832.27716
FDJ46,OUT013,804.05457
FDN45,OUT010,844.1694
FDY08,OUT035,802.9576
FDZ37,OUT035,801.70184
NCT30,OUT045,804.3097
DRY23,OUT018,817.8826
NCZ30,OUT018,823.93567
FDC44,OUT018,832.2655
FDB45,OUT035,805.4832
FDY04,OUT013,798.70044
FDM27,OUT046,808.98126
FDZ43,OUT017,820.2512
FDT39,OUT019,807.5573
NCC06,OUT019,795.5008
FDL15,OUT027,829.279
FDL57,OUT017,829.48584
FDU08,OUT046,799.37427
FDK40,OUT017,819.9771
FDQ12,OUT010,827.4264
FDS48,OUT017,818.4819
FDP09,OUT045,828.9679
FDW21,OUT049,814.34033
FDY25,OUT035,805.0474
DRE13,OUT017,798.5407
FDV43,OUT019,802.47363
FDD22,OUT045,815.37933
FDM46,OUT019,809.84436
NCO30,OUT010,834.64124
FDM25,OUT046,798.85535
NCN41,OUT049,821.2619
FDU24,OUT045,800.7406
FDZ50,OUT046,805.91156
FDP45,OUT013,802.7293
NCM54,OUT045,818.351
FDW10,OUT019,806.7313
FDP20,OUT017,823.9529
FDK32,OUT046,798.3814
FDN52,OUT049,813.1461
FDM58,OUT045,814.05505
FDZ46,OUT027,834.0098
NCA18,OUT018,826.43585
FDD35,OUT046,818.61426
NCK31,OUT035,793.002
FDI40,OUT027,817.9648
FDT50,OUT019,796.0723
NCT06,OUT046,808.1592
FDT31,OUT035,807.1085
FDT45,OUT049,824.52686
FDT13,OUT045,813.97943
FDO50,OUT045,811.9517
NCU18,OUT010,829.70703
NCR54,OUT049,828.101
NCO18,OUT018,831.53577
FDU09,OUT045,805.226
FDT13,OUT018,831.7444
FDE09,OUT046,798.7632
NCK53,OUT019,792.282
FDG45,OUT049,816.84705
DRH15,OUT035,794.23047
FDO21,OUT019,801.1951
FDD14,OUT027,827.47125
FDC09,OUT046,796.07166
FDH45,OUT027,822.9924
FDV32,OUT046,799.1901
FDG12,OUT035,796.4377
FDS32,OUT013,798.2519
NCL55,OUT018,827.4834
DRE01,OUT035,797.7832
DRE15,OUT049,818.7427
NCL42,OUT045,825.94415
FDP31,OUT013,802.5318
FDN33,OUT018,828.77985
FDZ59,OUT046,808.31805
FDE45,OUT010,825.27997
FDJ07,OUT013,797.7753
FDQ45,OUT018,831.63635
FDM33,OUT027,838.8686
FDO15,OUT010,818.30865
FDM46,OUT013,797.2851
FDR03,OUT045,810.00696
FDY49,OUT018,833.5828
FDQ60,OUT045,800.61896
FDW10,OUT049,830.93854
FDO51,OUT049,825.3223
FDJ40,OUT018,820.73694
FDS20,OUT018,828.0102
FDU45,OUT013,794.3756
FDV02,OUT035,800.7138
FDN09,OUT046,812.8226
NCM55,OUT027,820.7656
FDN23,OUT018,825.56885
FDY31,OUT010,820.01404
FDW03,OUT010,816.28973
FDD14,OUT046,820.93005
FDV23,OUT017,822.38983
DRI03,OUT045,800.3161
FDN13,OUT035,807.04333
FDF45,OUT027,818.73755
FDU46,OUT035,799.232
FDB57,OUT049,824.36176
FDV12,OUT049,815.8074
FDQ58,OUT013,798.70996
NCA18,OUT017,813.4214
FDH52,OUT049,810.2125
FDM24,OUT018,824.93365
NCP43,OUT027,818.2938
NCO18,OUT019,797.40247
FDM32,OUT017,822.24805
NCL07,OUT017,806.469
FDK03,OUT013,787.2733
FDP59,OUT017,829.2838
FDQ24,OUT049,826.30865
FDQ16,OUT018,826.42175
FDU44,OUT013,796.36273
FDH28,OUT010,818.2889
FDV28,OUT019,800.143
FDM22,OUT045,809.23944
FDR56,OUT046,801.45764
FDV39,OUT049,828.8303
FDU37,OUT019,807.0568
FDQ11,OUT010,824.5359
FDX02,OUT045,810.2057
NCS42,OUT018,824.21405
FDY57,OUT027,826.5026
FDB21,OUT049,821.68774
FDE28,OUT017,819.2091
FDQ55,OUT017,816.1278
FDA48,OUT049,826.0118
FDZ19,OUT045,802.3578
NCC43,OUT045,817.68823
NCV18,OUT046,796.9277
NCA42,OUT018,827.4582
FDY45,OUT046,814.8965
NCC30,OUT045,819.51843
FDM57,OUT013,790.02716
FDL09,OUT010,836.45465
FDB09,OUT027,827.568
FDT44,OUT035,805.77216
NCT06,OUT027,830.03894
FDX26,OUT049,826.5945
FDK32,OUT013,798.47235
DRA12,OUT046,803.47034
FDO46,OUT010,824.3051
FDE52,OUT013,779.0659
NCH42,OUT045,814.574
FDV08,OUT035,797.5005
FDB47,OUT018,839.34076
FDC28,OUT010,819.6216
FDD22,OUT046,806.44464
FDS07,OUT027,829.5703
DRI13,OUT045,809.42365
FDG32,OUT018,839.791
FDU14,OUT017,820.31726
FDD28,OUT019,797.9961
NCP41,OUT017,813.15
FDS08,OUT049,814.36206
FDX47,OUT045,807.59204
FDC53,OUT019,797.2317
FDQ19,OUT035,801.0114
FDL14,OUT045,806.33295
FDM33,OUT019,809.6067
FDA51,OUT045,796.14294
FDZ27,OUT018,810.80194
FDT04,OUT046,803.7267
DRC13,OUT049,807.9826
FDR16,OUT027,820.34326
FDQ03,OUT027,826.8539
FDE38,OUT035,799.99036
DRH23,OUT027,815.81104
FDT11,OUT019,804.81116
FDD09,OUT035,803.33826
FDR40,OUT045,797.1711
FDX07,OUT017,823.432
FDR07,OUT035,807.4326
FDA51,OUT017,807.2781
FDT59,OUT019,811.41473
FDF20,OUT017,818.4042
FDR13,OUT045,805.3692
FDY26,OUT049,821.03845
FDW04,OUT017,810.64264
FDK52,OUT017,827.88104
FDN60,OUT049,823.8299
FDM09,OUT019,806.5759
FDP46,OUT049,826.45764
FDB50,OUT019,808.24603
NCQ29,OUT049,829.4761
FDP16,OUT027,829.5864
FDX33,OUT018,834.2461
FDP07,OUT010,827.61224
FDN22,OUT046,818.23206
FDF39,OUT049,819.9631
FDS21,OUT017,823.4345
NCM42,OUT013,790.6269
FDK50,OUT019,800.28723
DRF13,OUT027,816.9861
FDH35,OUT018,841.4639
FDP60,OUT018,825.93994
DRJ49,OUT027,815.6332
NCT42,OUT019,796.2078
FDE38,OUT049,814.89685
FDI04,OUT049,818.52527
NCH54,OUT045,816.6932
FDT56,OUT049,817.0972
DRD15,OUT018,822.3615
FDV58,OUT013,811.6987
FDP21,OUT049,819.8781
FDH05,OUT013,800.4057
FDR10,OUT027,833.0112
NCP06,OUT045,822.11
FDF33,OUT049,820.4449
DRK37,OUT013,785.6421
DRH49,OUT045,804.7922
FDT58,OUT013,802.93164
FDD41,OUT018,819.66815
FDP40,OUT018,817.1232
FDM51,OUT027,824.8243
FDO45,OUT010,821.6394
FDW33,OUT010,831.9405
FDY24,OUT045,791.68365
FDB10,OUT010,836.92914
FDM40,OUT035,798.88184
NCI06,OUT017,818.4336
FDW12,OUT019,798.2523
FDX48,OUT027,816.73193
NCW05,OUT027,826.3456
FDX27,OUT017,813.5966
DRM37,OUT045,810.806
FDA38,OUT045,804.75494
FDR36,OUT046,805.1524
FDZ45,OUT046,811.2877
FDG05,OUT017,814.5878
FDK28,OUT013,797.9297
FDV47,OUT045,819.43744
FDN21,OUT045,826.59265
FDP20,OUT027,827.0674
FDI35,OUT045,819.46875
DRY23,OUT013,785.9581
FDA56,OUT017,813.1531
FDB09,OUT013,800.3332
NCO26,OUT027,829.7538
FDQ49,OUT018,824.38947
FDI52,OUT027,825.2323
FDZ44,OUT027,826.53735
FDZ09,OUT018,843.25977
FDY03,OUT049,832.98236
NCG42,OUT017,823.932
DRI13,OUT027,817.28265
FDQ32,OUT013,798.43646
FDW16,OUT035,799.77435
FDU27,OUT046,824.38007
FDR28,OUT010,818.5518
FDQ49,OUT010,817.5037
FDS37,OUT046,802.8302
FDW26,OUT018,824.4212
FDX12,OUT018,832.63196
NCP06,OUT013,806.3745
FDW45,OUT010,834.9355
NCN30,OUT049,818.8506
FDN24,OUT049,816.3858
NCL41,OUT027,818.28503
FDR02,OUT019,792.2363
FDD09,OUT010,824.9441
FDS33,OUT010,815.2611
FDU22,OUT045,818.2142
FDI53,OUT013,793.3039
DRH01,OUT049,819.0276
FDX32,OUT013,799.31537
NCP30,OUT018,826.7636
FDB60,OUT045,808.29443
FDB14,OUT049,829.5299
NCP02,OUT035,795.5285
FDJ10,OUT017,815.35864
FDG34,OUT046,805.75256
NCB18,OUT017,822.36487
FDM16,OUT049,810.54315
FDW25,OUT018,820.12036
FDB35,OUT010,832.18304
DRN11,OUT013,782.6749
FDF41,OUT019,810.9539
FDH16,OUT045,800.3848
NCQ50,OUT018,836.66113
DRH23,OUT018,817.79706
DRJ37,OUT013,790.16486
DRJ24,OUT027,822.2176
FDY16,OUT035,803.6508
FDQ27,OUT045,804.2304
FDZ33,OUT045,818.19855
FDF29,OUT045,803.2456
FDA08,OUT049,817.5342
FDG31,OUT046,807.3527
FDE34,OUT019,802.3165
NCR30,OUT027,828.03625
FDV33,OUT035,807.11914
DRZ24,OUT018,817.0221
NCL54,OUT035,807.51044
FDR12,OUT049,817.75433
NCC54,OUT046,816.94183
DRN59,OUT013,779.61755
FDX50,OUT019,796.7259
FDV31,OUT027,830.9288
NCA29,OUT027,829.8308
FDW60,OUT049,816.15875
FDX08,OUT017,817.6892
DRD49,OUT013,797.3044
FDD33,OUT046,807.5408
FDW35,OUT013,793.89526
FDJ36,OUT017,818.9069
FDV51,OUT035,812.3831
FDW36,OUT046,805.4429
FDH35,OUT046,822.4841
NCS30,OUT027,830.86633
FDN49,OUT017,815.92413
FDL08,OUT018,832.4433
FDI09,OUT013,805.9466
FDP19,OUT018,830.9543
FDU21,OUT010,820.1838
NCP41,OUT045,806.0003
FDY10,OUT013,805.6529
FDP12,OUT018,817.7384
NCN26,OUT049,817.0175
FDK44,OUT013,804.14716
FDC28,OUT049,815.5672
FDJ41,OUT027,829.2416
NCT29,OUT035,802.31024
NCH42,OUT019,800.46515
FDU60,OUT018,830.9247
FDS02,OUT045,802.4647
FDC51,OUT046,801.8977
FDU03,OUT013,806.724
FDX39,OUT045,811.29175
NCY05,OUT010,816.27924
NCL06,OUT027,834.1557
FDD32,OUT035,796.7248
NCN41,OUT045,808.9634
NCX53,OUT049,822.408
FDU57,OUT019,806.33405
FDQ23,OUT046,806.69836
FDQ52,OUT045,818.17737
FDC14,OUT045,804.4509
FDY09,OUT035,807.1252
FDQ28,OUT045,805.2924
FDV25,OUT046,808.3302
FDJ07,OUT035,806.1823
DRB25,OUT049,813.0346
FDK52,OUT019,806.5123
FDY52,OUT027,818.81476
FDB28,OUT046,805.24255
FDT36,OUT035,796.7654
FDV25,OUT017,816.2356
NCN07,OUT027,817.7218
FDC57,OUT017,825.76544
FDQ03,OUT018,836.56506
FDU23,OUT017,824.5966
NCX41,OUT035,810.238
NCD06,OUT035,798.73285
FDW08,OUT045,806.9302
NCU29,OUT017,810.0578
NCE06,OUT013,794.5679
FDV52,OUT010,826.2089
FDB02,OUT017,820.3129
NCR18,OUT045,809.48175
FDK16,OUT049,815.3152
NCQ29,OUT010,831.3146
FDZ01,OUT019,798.4597
FDW27,OUT035,811.3955
FDD17,OUT018,824.0621
FDW39,OUT013,799.7753
DRH59,OUT045,792.9999
FDS52,OUT013,789.0687
FDU40,OUT027,827.92755
NCF54,OUT013,805.4143
FDH46,OUT045,806.8847
NCP14,OUT049,815.9388
FDH50,OUT049,825.2327
DRF15,OUT010,816.8624
FDV27,OUT027,825.88605
NCJ06,OUT049,823.4752
FDN02,OUT018,836.587
FDQ51,OUT049,829.2665
FDQ07,OUT017,824.3373
FDS45,OUT049,815.3
NCJ06,OUT045,819.5582
FDD36,OUT035,799.87177
FDY25,OUT045,811.07904
FDU52,OUT046,806.5906
DRK47,OUT017,810.8495
NCL30,OUT017,822.95233
FDN22,OUT035,816.71655
NCF30,OUT027,831.9159
FDK03,OUT035,807.5149
FDT45,OUT017,823.38403
NCC54,OUT027,825.6364
FDP08,OUT018,835.5269
FDU44,OUT046,798.40717
DRG39,OUT035,795.25555
FDU32,OUT049,812.5351
FDY27,OUT049,819.2651
NCP54,OUT013,800.0649
NCZ41,OUT049,823.66187
DRL49,OUT013,791.2034
FDI05,OUT018,820.09894
FDY56,OUT045,812.23303
DRC13,OUT013,783.97253
NCV29,OUT017,813.9887
FDR24,OUT049,817.96826
FDZ34,OUT018,839.25867
FDP37,OUT035,805.9981
FDX08,OUT027,827.4531
FDS57,OUT045,823.2049
NCG18,OUT049,818.8268
FDK25,OUT018,824.18774
FDH53,OUT049,816.2515
DRI59,OUT018,818.73785
FDA52,OUT046,810.62286
FDT20,OUT010,818.78546
FDE36,OUT019,798.9326
FDI24,OUT017,816.9034
FDB28,OUT018,820.4501
FDV11,OUT017,821.6764
FDP01,OUT046,806.04224
FDD34,OUT027,833.3128
FDJ50,OUT027,815.31305
FDZ44,OUT013,795.36127
DRO59,OUT035,793.12616
DRB48,OUT045,792.6756
FDR21,OUT018,843.1165
NCE42,OUT010,838.59564
FDO23,OUT046,816.3651
NCE30,OUT018,837.51154
FDQ22,OUT035,802.31995
FDY01,OUT045,813.4017
FDS08,OUT017,813.83466
FDG28,OUT018,825.1699
FDQ51,OUT018,827.25146
FDB05,OUT017,818.39294
FDO56,OUT049,813.4528
FDE02,OUT018,821.5243
FDN45,OUT017,835.8377
FDS09,OUT013,786.4067
NCA54,OUT018,833.78644
FDP09,OUT010,839.3555
FDC53,OUT045,798.3558
NCM55,OUT017,818.08527
FDL09,OUT018,841.67487
FDA11,OUT019,799.5599
FDA50,OUT045,802.08765
FDC23,OUT017,830.98706
FDE22,OUT049,822.2169
FDD23,OUT046,825.0014
NCA29,OUT049,821.42676
FDK38,OUT046,804.77124
DRC13,OUT046,804.4575
NCP43,OUT049,815.5467
FDX28,OUT049,814.1005
FDF08,OUT049,815.7167
FDZ33,OUT046,808.2912
FDD10,OUT049,825.2429
FDO58,OUT017,831.5868
FDI50,OUT017,822.54016
FDO58,OUT045,826.79034
FDX08,OUT013,799.0573
NCK17,OUT010,813.37726
FDF39,OUT035,806.1844
FDU45,OUT010,824.3412
NCJ18,OUT018,831.1997
DRC27,OUT019,799.2578
DRC25,OUT035,787.65845
FDU59,OUT035,804.2462
FDU28,OUT035,802.0238
NCP30,OUT046,802.0479
FDB39,OUT018,813.48486
FDE41,OUT013,787.9671
DRH11,OUT010,804.029
FDA58,OUT045,822.70355
FDU50,OUT046,803.46326
FDM34,OUT013,808.9444
FDM44,OUT027,825.8269
FDR39,OUT045,821.5986
FDM25,OUT045,809.675
FDQ49,OUT049,818.47314
DRH25,OUT018,817.7046
FDM09,OUT027,827.6344
FDL44,OUT019,798.1498
NCR42,OUT018,820.03864
DRL59,OUT046,803.30005
FDX43,OUT013,796.67883
DRK47,OUT010,815.18463
FDU48,OUT018,829.01294
FDY12,OUT045,799.9369
NCN43,OUT018,817.4993
NCM55,OUT018,825.092
FDQ21,OUT027,831.15045
FDX13,OUT035,807.07935
NCK30,OUT027,833.54517
FDG20,OUT049,823.8732
DRG27,OUT017,800.11926
FDY14,OUT018,824.4617
FDP59,OUT035,808.127
FDU60,OUT017,821.2574
NCC18,OUT019,809.44354
DRJ39,OUT017,820.6136
FDS07,OUT049,817.20886
FDM08,OUT027,824.7712
FDP51,OUT045,809.1958
FDU16,OUT035,801.0457
FDH12,OUT013,793.55176
DRE48,OUT010,819.9888
NCL42,OUT027,832.33563
FDR21,OUT045,828.1557
NCW29,OUT035,802.58105
FDO11,OUT013,798.2294
NCM31,OUT049,808.3339
FDV35,OUT019,816.2666
FDF58,OUT017,818.9122
NCE43,OUT049,823.9954
FDA02,OUT035,803.0217
DRL37,OUT010,819.66095
FDR24,OUT018,825.1756
FDW59,OUT049,816.2062
FDS22,OUT049,817.867
FDW24,OUT017,804.19604
FDU24,OUT035,798.47424
FDA21,OUT027,835.2017
FDH58,OUT027,832.799
FDW36,OUT018,821.3716
FDI45,OUT027,827.766
FDU01,OUT018,835.5631
FDF35,OUT027,837.1651
FDU43,OUT019,802.2568
FDE24,OUT019,804.5562
FDK50,OUT049,815.34656
FDG31,OUT045,806.798
FDC60,OUT045,798.6532
FDL36,OUT013,796.71533
FDP21,OUT013,791.54224
FDW16,OUT045,803.0187
FDX02,OUT017,817.809
FDQ58,OUT027,833.01624
FDT51,OUT046,809.7681
FDD59,OUT049,830.51843
NCM42,OUT018,822.7221
FDA57,OUT018,833.107
FDZ48,OUT035,802.63104
FDE46,OUT045,824.6149
NCZ30,OUT019,795.21246
FDB56,OUT017,816.9286
FDA25,OUT027,818.9457
FDD20,OUT013,797.3915
FDL25,OUT013,778.8126
NCO18,OUT049,823.7171
FDJ45,OUT017,828.22687
FDR12,OUT035,801.75903
NCF19,OUT010,820.4969
FDK25,OUT046,803.21185
NCR17,OUT046,803.59644
FDC52,OUT046,803.06146
NCA54,OUT017,823.58575
FDR45,OUT010,835.2288
NCM19,OUT049,808.956
FDF39,OUT027,812.3792
FDX23,OUT049,812.36926
FDD58,OUT027,833.0003
FDX28,OUT013,789.63464
NCD31,OUT013,798.14417
FDU57,OUT018,832.0236
FDI27,OUT046,799.45447
NCM42,OUT046,797.06757
